BERTScore P,BERTScore R,BERTScore F1
0.8335794,0.8666803,0.8498077
0.84387195,0.877308,0.86026525
0.8392209,0.86932397,0.85400724
0.82535994,0.8895575,0.85625714
0.8298789,0.90015805,0.863591
0.83976847,0.8738872,0.8564881
0.8486966,0.8605938,0.8546038
0.8638236,0.86807406,0.8659436
0.8375777,0.82610565,0.83180207
0.8717615,0.87489474,0.87332535
0.8493978,0.8698838,0.85951877
0.8492639,0.91181856,0.8794303
0.8534266,0.88240826,0.8676755
0.817424,0.88146067,0.8482354
0.819564,0.8516351,0.8352918
0.8688401,0.8754015,0.87210846
0.8739405,0.87613523,0.8750365
0.855841,0.85826737,0.8570525
0.8122508,0.87605083,0.8429454
0.8348157,0.88774675,0.860468
0.8134285,0.83031964,0.8217873
0.8241112,0.8667256,0.8448814
0.8212246,0.8757774,0.8476241
0.8288218,0.871041,0.84940714
0.88053286,0.89586085,0.8881308
0.8360027,0.8961842,0.86504805
0.83859444,0.861286,0.8497888
0.82454145,0.8578025,0.8408432
0.84078175,0.8611975,0.8508672
0.82807475,0.83722466,0.8326246
0.8218169,0.8561828,0.8386479
0.7970056,0.86505383,0.8296367
0.7982328,0.84210616,0.81958276
0.80200815,0.84537315,0.8231199
0.79382414,0.8598892,0.825537
0.8335567,0.8295396,0.8315433
0.8296687,0.8485304,0.83899355
0.8610573,0.8707262,0.86586475
0.83023554,0.84266615,0.8364047
0.8086983,0.85344243,0.8304681
0.8487386,0.8984926,0.87290716
0.81707364,0.86378384,0.83977973
0.85492414,0.8684558,0.8616368
0.85674703,0.8711859,0.86390615
0.8552648,0.901588,0.87781566
0.8335838,0.88139445,0.85682267
0.84897804,0.83263403,0.8407267
0.82960516,0.85176826,0.8405407
0.8442453,0.87097716,0.8574029
0.8433262,0.8659987,0.8545121
0.8289,0.8648446,0.84649086
0.8486515,0.8753973,0.861817
0.8406416,0.85576284,0.8481348
0.8479084,0.8744003,0.8609506
0.83739126,0.8520896,0.84467655
0.8347408,0.8688297,0.8514442
0.8532302,0.85584295,0.8545346
0.8493812,0.8334923,0.84136176
0.7915224,0.82371986,0.8073002
0.82983625,0.8632342,0.84620583
0.8209389,0.82829833,0.8246022
0.87153435,0.85076714,0.8610255
0.8489349,0.8601044,0.8544832
