BERTScore P,BERTScore R,BERTScore F1
0.923961,0.92579126,0.92487526
0.9034895,0.92958045,0.9163493
0.8543961,0.90545833,0.87918645
0.91172385,0.8720941,0.8914687
0.84107375,0.87000275,0.8552937
0.9444294,0.9609816,0.9526336
0.8860717,0.94015396,0.91231203
0.97549534,0.90231216,0.93747765
0.91119057,0.9306168,0.9208012
0.8161767,0.8601719,0.83759695
0.86017525,0.89323974,0.87639576
0.8524722,0.86483085,0.85860705
0.83701354,0.8576845,0.8472229
0.83001995,0.8446157,0.8372542
0.8336156,0.8738748,0.85327053
0.86133987,0.8997366,0.8801196
0.84791315,0.8706462,0.8591293
0.8651804,0.8978776,0.8812258
0.86376977,0.8821513,0.87286377
0.882866,0.86364716,0.8731509
0.8814761,0.94943833,0.91419584
0.8788411,0.87597567,0.877406
0.82526547,0.87845504,0.85102993
0.82982796,0.84062135,0.8351898
0.85941523,0.8611331,0.86027324
0.8328502,0.8353982,0.83412224
0.8869451,0.88771987,0.8873323
0.83998,0.8132585,0.8264033
0.8402833,0.82323897,0.8316738
0.8680262,0.89923185,0.88335353
0.8433463,0.8954432,0.8686143
0.8396954,0.86869645,0.8539497
0.85314745,0.91482097,0.8829085
0.83607197,0.89854205,0.8661821
0.8358026,0.86598665,0.85062695
0.8648731,0.8846371,0.87464345
0.8719582,0.84807193,0.8598493
0.8578258,0.8879053,0.8726064
0.84979796,0.8552452,0.8525129
0.85899246,0.87841403,0.8685947
0.8620665,0.88665044,0.8741857
0.85298276,0.8528018,0.8528923
0.83916813,0.88668126,0.86227065
0.84361374,0.8329487,0.8382473
0.82138133,0.8322762,0.8267929
0.82812154,0.8642521,0.8458011
0.8407389,0.8683355,0.8543144
0.83548784,0.8425624,0.8390102
0.81755984,0.83881295,0.82805
0.8180948,0.86939967,0.8429673
0.87482584,0.8945378,0.88457197
0.87863404,0.89883244,0.88861847
0.8790759,0.8604337,0.8696549
0.88569295,0.8719205,0.8787528
0.8535785,0.88108027,0.86711144
0.84719074,0.8331842,0.84012914
0.8242305,0.8389052,0.8315031
0.8492078,0.8581201,0.85364074
0.86062884,0.8486086,0.8545764
0.8395516,0.8656447,0.8523985
0.79191756,0.870914,0.8295393
0.82963485,0.87287366,0.8507052
0.86218053,0.8569852,0.85957503
0.8502526,0.87708014,0.86345804
0.865035,0.8818598,0.8733663
0.84452415,0.89595455,0.8694795
0.83511156,0.87529397,0.8547307
0.8342299,0.86274046,0.8482457
0.8523922,0.8935101,0.872467
0.8428973,0.8637045,0.85317403
0.8538375,0.84034246,0.8470362
0.8286144,0.87038934,0.84898835
0.8317821,0.8523984,0.84196407
0.8685991,0.84742427,0.857881
0.8314361,0.86658996,0.84864914
0.7831942,0.8679318,0.82338864
0.8052858,0.82513154,0.8150879
0.83589935,0.8908015,0.8624776
0.7841279,0.8739076,0.8265871
0.8109162,0.8132495,0.81208116
0.8147563,0.837777,0.8261063
0.8493559,0.85435104,0.85184616
0.7989997,0.8587483,0.8277973
0.81352645,0.8430861,0.8280425
0.8017483,0.86238915,0.83096385
0.8453515,0.8238228,0.8344483
0.82547367,0.8486928,0.8369222
0.83045954,0.8720956,0.8507684
0.8285283,0.8762064,0.8517006
0.8446609,0.8634701,0.85396194
0.74543995,0.88433355,0.8089683
0.8243462,0.8630314,0.8432453
0.8331207,0.8779383,0.85494256
0.79033,0.860125,0.8237517
0.80780995,0.81127274,0.80953765
0.8096152,0.8596916,0.83390236
0.8169082,0.8527404,0.8344398
0.82899946,0.9194525,0.87188625
0.79696536,0.82952505,0.8129193
0.8416926,0.8675053,0.85440403
0.8668479,0.8691909,0.8680178
0.8435904,0.88437414,0.86350095
0.82455647,0.8638197,0.8437315
0.8303041,0.8443218,0.8372543
0.8531698,0.8505094,0.8518375
0.8444685,0.83657867,0.840505
0.84015954,0.8793335,0.8593003
0.84513694,0.89212865,0.8679972
0.8309345,0.9047938,0.8662927
0.84833336,0.8665371,0.8573386
0.84803814,0.8474074,0.84772265
0.8431144,0.87153447,0.8570889
0.8633965,0.873531,0.8684342
0.82280326,0.85434043,0.8382754
0.86295545,0.8939512,0.8781799
0.8455653,0.8367419,0.8411305
0.88662183,0.88590217,0.8862618
0.8252943,0.87336826,0.84865105
0.8259236,0.8146296,0.8202377
0.85765046,0.9137495,0.8848117
0.82882,0.8838777,0.8554638
0.87128294,0.889949,0.8805171
0.8147007,0.84467626,0.8294177
0.8623605,0.87592375,0.8690892
0.83662343,0.8488422,0.84268856
0.8663479,0.86527526,0.8658113
0.86020505,0.864536,0.8623651
0.82786,0.81797343,0.822887
0.818607,0.8568475,0.8372909
0.8445181,0.8759126,0.85992897
0.8359537,0.85766685,0.8466711
0.84150165,0.88309413,0.8617964
0.8156146,0.84740067,0.8312038
0.8393435,0.8738858,0.8562664
0.84168607,0.8520994,0.84686077
0.831393,0.8480251,0.83962667
0.82248753,0.84988534,0.83596206
0.83112425,0.8629438,0.8467352
0.8507322,0.899759,0.87455904
0.8382687,0.86555856,0.8516951
0.8414037,0.8416352,0.8415195
0.8699933,0.89206624,0.88089156
0.85274976,0.8616021,0.8571531
0.84289694,0.88322484,0.8625898
0.85319984,0.88904625,0.87075424
0.8042972,0.8435538,0.82345784
0.7645874,0.8844646,0.8201688
0.82526225,0.9048691,0.8632342
0.83671945,0.8779231,0.8568262
0.8451829,0.8634674,0.8542273
0.85744774,0.85145086,0.85443884
0.84523124,0.8790746,0.86182076
0.8502534,0.87523437,0.86256313
0.87080413,0.8769828,0.87388253
0.81744534,0.84114385,0.8291253
0.82961583,0.8325697,0.8310902
0.85658526,0.8364476,0.8463966
0.8293819,0.86706346,0.8478041
0.8528575,0.84657353,0.8497039
0.83368087,0.86198056,0.84759456
0.8534042,0.8607633,0.85706794
0.8654864,0.89592236,0.8804414
0.8391528,0.8462572,0.84269
0.83925754,0.8462965,0.8427623
0.8731298,0.8685007,0.8708091
0.85898834,0.8843993,0.8715086
0.8420343,0.8387948,0.8404115
0.8378463,0.86479414,0.85110694
0.85536885,0.88334215,0.86913043
0.852642,0.84311354,0.84785104
0.8609021,0.8643917,0.86264336
0.85580975,0.8629574,0.8593687
0.8387651,0.84702706,0.8428758
0.8623278,0.8911112,0.8764833
0.82600296,0.86193955,0.8435887
0.8267768,0.87675226,0.8510314
0.84574616,0.89067775,0.86763066
0.8594262,0.87307847,0.86619854
0.85793984,0.82867473,0.8430534
0.8763538,0.88998073,0.8831147
0.8532002,0.83845615,0.8457639
0.84164023,0.84188277,0.8417615
0.8393959,0.8642076,0.85162103
0.85394764,0.8538364,0.853892
0.85905206,0.85985744,0.8594546
0.8295671,0.8575264,0.8433151
0.8602602,0.8959703,0.8777522
0.86328375,0.87682825,0.8700032
0.8346138,0.8367825,0.8356968
0.8441754,0.9120117,0.8767834
0.85573876,0.8622784,0.85899615
0.8629384,0.90904456,0.88539165
0.85577947,0.88926923,0.87220293
0.85303473,0.8715115,0.86217415
0.80624694,0.8661207,0.83511204
0.81857044,0.8458469,0.8319852
0.79858196,0.84318537,0.82027775
0.8580266,0.8595381,0.8587817
0.84851944,0.8600945,0.8542678
