BERTScore P,BERTScore R,BERTScore F1
0.8557863,0.87218976,0.86391014
0.8564118,0.8578027,0.8571067
0.88593435,0.8860594,0.8859969
0.8578041,0.88014084,0.86882895
0.89868593,0.9033734,0.90102357
0.83105373,0.86817193,0.84920746
0.85589087,0.85087246,0.8533743
0.87084204,0.83857274,0.8544029
0.85538054,0.8289929,0.8419801
0.87097573,0.89122385,0.8809834
0.8868576,0.8890052,0.8879301
0.91977185,0.92293876,0.9213526
0.87120265,0.87333256,0.8722663
0.8836151,0.8794474,0.88152635
0.8677366,0.8394459,0.85335684
0.90262264,0.888391,0.89545023
0.8773602,0.8821591,0.8797531
0.8940396,0.87948704,0.88670355
0.8848363,0.88661027,0.8857224
0.84403074,0.884094,0.863598
0.8599948,0.8228953,0.84103614
0.8771392,0.876663,0.87690103
0.8724804,0.8853948,0.87889016
0.8573779,0.85952985,0.8584525
0.9141916,0.9036121,0.9088711
0.9098315,0.90426314,0.90703875
0.880951,0.85242856,0.8664551
0.8603078,0.85392165,0.8571029
0.87330055,0.8739557,0.873628
0.82754815,0.83680147,0.8321491
0.84994847,0.86187637,0.85587084
0.88566756,0.8705327,0.8780349
0.8790839,0.8810939,0.88008773
0.86014014,0.85964596,0.85989296
0.89306754,0.8742162,0.88354135
0.87089103,0.85401255,0.86236924
0.88724095,0.8810022,0.88411057
0.8739118,0.8736623,0.87378705
0.85211,0.86682093,0.85940254
0.8579606,0.875513,0.86664796
0.877431,0.8922987,0.8848024
0.85516936,0.9059596,0.87983215
0.8634449,0.86700225,0.86521995
0.8548964,0.8525967,0.85374504
0.8724902,0.9050544,0.888474
0.85613227,0.87812424,0.86698884
0.84423596,0.842503,0.8433686
0.8640677,0.8577663,0.8609054
0.87268984,0.896638,0.8845018
0.83649087,0.85320354,0.84476453
0.86987287,0.8729875,0.8714274
0.8649867,0.8602659,0.8626198
0.8499898,0.84179485,0.8458724
0.85450834,0.8507615,0.8526308
0.8611057,0.8389077,0.8498618
0.859684,0.8735614,0.86656713
0.8385804,0.8455937,0.8420725
0.8894937,0.849761,0.86917347
0.8594497,0.8397143,0.84946746
0.88122076,0.8623514,0.87168396
0.8303387,0.8280694,0.8292025
0.8770034,0.84682655,0.8616508
0.8754128,0.8640698,0.86970437
