BERTScore P,BERTScore R,BERTScore F1
0.9329194,0.92607903,0.92948663
0.9230229,0.93751854,0.9302142
0.8710147,0.8917055,0.8812387
0.92848015,0.8741673,0.90050554
0.88670605,0.88227546,0.88448524
0.9444294,0.9609816,0.9526336
0.9621099,0.97597545,0.9689931
0.9682177,0.9029764,0.9344597
0.91407585,0.9342407,0.9240483
0.8669059,0.91291755,0.889317
0.874631,0.89838266,0.8863478
0.85092485,0.85748154,0.8541906
0.8572919,0.87548244,0.86629176
0.8528221,0.85538554,0.85410196
0.8510273,0.8745873,0.8626465
0.89380205,0.9220502,0.90770644
0.8820765,0.8532453,0.86742145
0.8564065,0.86803955,0.8621838
0.88105655,0.879408,0.8802315
0.87671846,0.83016616,0.8528075
0.92026514,0.96100795,0.9401954
0.89608777,0.8501854,0.87253326
0.8758883,0.87399566,0.87494093
0.8584051,0.82887495,0.8433816
0.8784505,0.8437751,0.8607637
0.8583194,0.82870394,0.8432517
0.8688774,0.83932567,0.8538459
0.8634332,0.79871243,0.82981277
0.88055223,0.8120979,0.8449409
0.903263,0.8756905,0.8892631
0.8909417,0.9064058,0.8986072
0.8963752,0.8691382,0.88254654
0.8562002,0.86014986,0.8581705
0.8670696,0.87667096,0.8718439
0.8750279,0.8529588,0.86385244
0.8848977,0.85469633,0.86953485
0.8581191,0.82523596,0.84135634
0.8734313,0.86274755,0.86805654
0.87663054,0.85094273,0.86359566
0.8931851,0.88840175,0.89078695
0.86687154,0.86406666,0.86546683
0.85617924,0.8300464,0.84291035
0.8924608,0.8951928,0.8938247
0.8673296,0.82585865,0.8460863
0.8475695,0.84407246,0.8458174
0.8602144,0.86980844,0.8649848
0.8936398,0.8895501,0.89159024
0.86319757,0.84226495,0.85260284
0.8551936,0.8511295,0.8531567
0.86417913,0.85344124,0.8587766
0.86670536,0.8414132,0.85387206
0.89676416,0.85426486,0.87499875
0.87479424,0.81776047,0.8453164
0.84074813,0.8190564,0.8297605
0.896954,0.8706844,0.88362396
0.85372686,0.82264197,0.8378962
0.80081004,0.81667924,0.80866677
0.85859966,0.8477899,0.85316056
0.8702922,0.8382555,0.8539735
0.8621895,0.8577974,0.85998774
0.86845165,0.87223923,0.8703413
0.862549,0.8875734,0.87488234
0.865204,0.8513749,0.85823375
0.9021397,0.89122796,0.8966507
0.86926913,0.8656501,0.86745584
0.86360645,0.8899622,0.87658626
0.87391984,0.8510887,0.8623532
0.85605574,0.86096114,0.85850143
0.882539,0.88748914,0.88500714
0.8539965,0.86795455,0.860919
0.87255204,0.84636486,0.85925895
0.84882915,0.87446064,0.8614543
0.8610122,0.8512033,0.85607964
0.87406504,0.8334542,0.8532766
0.8642358,0.8744935,0.86933446
0.8279283,0.8401963,0.83401716
0.8278806,0.82221466,0.82503796
0.87040657,0.8701208,0.8702637
0.8451469,0.8783041,0.8614065
0.84307855,0.80014944,0.82105327
0.8618416,0.8310337,0.8461573
0.8950093,0.84620315,0.8699222
0.8678309,0.87595975,0.8718764
0.84994715,0.8436202,0.84677184
0.8576661,0.8803517,0.86886084
0.8563245,0.81787163,0.83665645
0.8669763,0.84733176,0.85704154
0.8431454,0.87545085,0.8589945
0.8423733,0.8536184,0.84795856
0.84200346,0.8490137,0.84549403
0.7684731,0.8455804,0.80518496
0.8528694,0.8583418,0.85559684
